accuracy,avg_reaction_time,mistakes,current_level,streak,game_type,next_level
82.5,1.95,1,1,2,pattern,2
59.2,3.49,6,5,-3,pattern,4
62.4,3.39,5,5,2,attention,4
100.0,2.78,1,1,3,attention,2
69.6,2.5,2,4,-2,memory,3
69.5,3.1,3,5,1,memory,5
66.5,3.88,4,5,-3,memory,4
100.0,0.6,0,1,1,pattern,2
100.0,1.29,0,1,0,routine,2
71.7,1.32,0,2,2,attention,3
73.9,2.6,3,3,1,attention,3
80.6,1.79,0,1,3,pattern,2
87.0,2.44,0,3,1,pattern,3
53.6,2.21,8,4,-3,memory,3
74.3,1.76,1,1,0,attention,1
56.6,3.64,3,5,2,attention,4
100.0,1.71,0,1,0,memory,2
67.9,2.27,2,3,-2,routine,2
89.1,3.7,2,3,2,pattern,3
69.2,2.25,1,3,-1,routine,3
66.6,1.5,5,3,-3,pattern,2
51.4,3.06,6,5,3,attention,4
89.5,0.76,5,1,-2,attention,1
82.1,2.66,0,2,2,pattern,2
78.6,2.49,1,1,3,pattern,2
81.7,0.96,3,1,3,memory,2
94.7,0.77,0,2,-3,routine,3
60.5,2.8,3,4,0,routine,3
75.0,3.82,3,5,-1,pattern,4
66.0,2.55,7,3,1,memory,2
61.2,1.9,5,2,2,memory,1
53.4,4.28,3,4,3,memory,3
100.0,1.41,0,2,-2,routine,3
58.5,3.42,1,5,1,memory,4
68.7,4.11,2,5,-3,pattern,4
66.8,3.44,2,5,-2,memory,4
98.2,1.79,0,1,2,routine,2
49.7,3.22,5,5,3,routine,4
73.1,3.18,1,4,-1,memory,4
60.6,3.02,3,3,2,routine,2
77.1,3.76,5,5,0,memory,4
80.4,2.89,1,4,1,pattern,4
78.2,1.8,5,3,3,pattern,3
82.7,3.19,2,3,2,routine,3
54.2,2.15,1,3,0,pattern,3
100.0,1.16,0,1,2,attention,2
66.2,2.98,1,5,2,routine,5
82.3,1.42,4,1,-3,attention,1
100.0,1.83,1,1,2,memory,2
89.5,1.56,1,1,0,attention,1
92.3,2.31,1,2,0,attention,2
57.3,3.78,4,5,1,routine,4
84.8,2.12,0,2,-2,memory,2
59.8,3.43,1,5,3,routine,4
78.9,2.45,4,2,2,attention,2
88.1,1.5,0,2,2,pattern,3
100.0,2.53,0,1,-2,pattern,1
100.0,1.42,0,1,-1,memory,2
58.2,2.61,5,4,-2,attention,3
75.0,3.17,1,3,1,attention,3
95.8,1.6,0,1,-3,pattern,2
78.7,2.69,1,3,3,pattern,3
59.5,4.66,4,5,-3,pattern,4
66.9,3.64,3,4,2,pattern,3
94.3,1.4,1,1,3,pattern,2
76.0,3.72,1,5,0,memory,5
91.0,0.6,1,1,2,pattern,2
77.0,0.6,5,1,2,attention,1
96.5,2.21,0,2,-3,pattern,3
100.0,0.92,2,1,0,attention,2
88.6,2.15,1,2,-3,attention,2
100.0,0.6,0,1,-2,attention,2
61.6,1.99,5,4,0,pattern,3
95.0,2.23,0,2,0,routine,3
83.3,1.55,2,2,0,routine,2
78.2,2.7,1,3,-3,attention,3
79.2,2.33,2,2,-3,attention,2
89.3,1.13,1,2,3,routine,3
65.1,2.32,3,3,2,pattern,3
98.3,1.77,0,3,2,pattern,4
81.9,1.69,3,2,-3,memory,2
63.5,2.62,2,4,-3,attention,3
89.8,1.15,3,2,-3,attention,2
100.0,1.24,0,1,3,pattern,2
72.6,2.25,3,3,-3,routine,2
39.8,3.31,3,5,1,attention,4
100.0,2.6,0,3,2,pattern,4
74.2,1.6,2,1,-3,attention,1
90.8,1.48,1,2,-2,attention,2
78.8,1.96,2,3,0,attention,3
56.2,2.47,3,2,0,memory,2
100.0,1.73,0,1,1,attention,2
56.7,3.24,2,5,3,attention,4
74.8,2.85,0,4,3,routine,4
59.2,1.42,3,2,-3,routine,1
100.0,0.91,0,1,3,attention,2
86.8,2.42,1,2,-1,memory,2
60.2,2.91,4,3,3,attention,2
90.4,2.46,0,2,-2,attention,2
79.7,2.83,0,3,-3,routine,3
72.7,2.53,2,5,-2,memory,4
80.2,3.06,1,3,3,routine,3
83.4,1.39,2,2,-2,pattern,2
70.7,3.77,2,5,2,memory,5
72.0,2.67,5,4,-1,memory,3
81.9,1.74,2,1,3,memory,2
79.1,2.65,3,3,1,pattern,3
100.0,1.73,1,1,-3,pattern,2
63.5,2.99,5,5,3,pattern,4
65.6,3.38,3,5,2,routine,4
98.3,0.82,0,1,1,pattern,2
69.6,0.6,5,1,3,pattern,1
62.0,2.46,1,4,3,attention,4
93.9,3.02,2,4,1,attention,5
70.5,3.08,3,3,1,attention,2
91.0,2.25,0,2,-3,routine,2
94.3,1.55,0,1,-3,attention,1
82.1,1.65,1,2,-3,attention,2
64.3,0.82,3,2,1,routine,2
49.7,2.8,1,5,3,attention,5
58.6,2.0,2,3,-3,attention,2
86.9,0.98,0,1,2,attention,2
93.2,2.45,1,1,2,memory,1
63.8,2.85,2,5,-2,memory,4
100.0,1.82,0,1,2,attention,2
76.6,2.07,3,2,-1,pattern,2
87.1,2.27,2,2,-3,attention,2
77.9,3.06,0,3,-2,routine,3
77.4,3.67,1,5,1,routine,5
20.0,2.47,4,5,-3,routine,4
99.9,2.47,1,1,2,attention,2
54.6,2.85,2,4,0,memory,3
86.4,1.9,2,3,-1,pattern,3
84.6,1.58,0,3,-3,pattern,3
62.1,2.7,6,3,-3,pattern,2
75.2,3.46,3,4,-1,attention,3
79.0,2.7,3,3,0,routine,3
81.0,1.01,1,2,-2,memory,2
78.4,3.2,2,4,-3,pattern,3
44.8,3.02,5,4,0,attention,3
56.3,3.98,5,5,1,routine,4
93.5,1.43,2,2,-2,routine,3
88.7,3.09,0,4,0,attention,4
85.2,2.87,2,2,-1,memory,2
96.3,2.45,1,3,2,memory,3
